,item1,item2,item3
0,8.5,$949,1
1,10.5,$300,1
2,13,$296,1
3,13,$250,1
4,15,$224,1
5,9,$211,1
6,9.5,$202,1
7,11,$201,1
8,5.5,$200,1
9,10,$200,1
10,6.5,$190,1
11,10.5,$185,1
12,11.5,$170,1
13,13,$170,1
14,7.5,$170,1
15,10,$170,1
16,8.5,$170,1
17,12.5,$170,1
18,9,$170,1
19,11,$170,2
20,9.5,$170,1
21,8,$170,1
22,10.5,$170,1
23,12,$170,1
24,10.5,$160,1
25,6,$150,1
26,9,$150,1
27,8.5,$100,1
28,9,$69,1
29,7,$50,1
30,9.5,$25,1
31,11,$25,1
32,10.5,$450,1
33,12,$400,1
34,11,$278,1
35,15,$224,1
36,9,$215,1
37,8.5,$190,1
38,8,$190,1
39,10.5,$185,1
40,9,$177,1
41,5.5,$177,1
42,13,$177,1
43,11,$177,1
44,6.5,$177,1
45,4.5,$177,1
46,5,$177,1
47,8.5,$177,1
48,6,$177,1
49,10,$177,1
50,8,$177,1
51,7,$177,1
52,4,$177,1
53,10.5,$177,1
54,11.5,$177,1
55,12,$177,1
56,9.5,$177,1
57,12.5,$177,1
58,7.5,$177,1
59,4.5,$103,1
60,4.5,$100,1
61,5,$100,1
62,8.5,$100,2
63,6,$100,1
64,10.5,$100,1
65,10,$100,1
66,8,$100,1
67,7,$100,1
68,4,$100,1
69,11.5,$100,1
70,12,$100,1
71,9.5,$100,1
72,12.5,$100,1
73,7.5,$100,1
74,9,$100,1
75,5.5,$100,1
76,11,$100,1
77,6.5,$100,1
78,14,$26,1
79,10,$24,1
