Ancyrochitina sp,Middle Devonian,,Iowa,"  Dunn,D.L.         Devonian chitinozoans from the Cedar Valley Formation in Iowa.",1959,"Dunn,D.L.
","Dunn,D.L.                   (1959)
                  Devonian chitinozoans from the Cedar Valley Formation in Iowa.                   Journal of Paleontology  
                   Vol. 33                    # 6                  P.  1001- 1017"
Ancyrochitina sp,Famennian,,Algeria,"  Taugourdeau,P.         Association of chitinozoan from some Drillings in the Edjeleh Region (Sahara).",1962,"Taugourdeau,P.
","Taugourdeau,P.                   (1962)
                  Association of chitinozoan from some Drillings in the Edjeleh Region (Sahara).  [ Associations de Chitinozoaires dans quelques Sonda Ges de la Region d'Edjele (Sahara). ]                   Revue de Micropal©ontologie  
                   Vol. 4                    # 4                  P.   229-  236"
Ancyrochitina sp,Silurian,,Romania,"  Beju,D. et al.         Silurian chitinozoans from the Moldavian Platform and the Moesic Platform",1962,"Beju,D.;Danet,N.
","Beju,D. et al.                   (1962)
                  Silurian chitinozoans from the Moldavian Platform and the Moesic Platform  [ Chitinozoare Siluriene din Platforma Moldoveneasca si Platforma Moezica ]                   Petrol si Gaze  
                   Vol. 13                    # 12                  P.   527-  536"
Ancyrochitina sp,Gothlandian,,France(Vosges),"  Doubinger,J.         Ordovician and Silurian chitinozoans of the Schistes of Steige in the Vosges.",1963,"Doubinger,J.
","Doubinger,J.                   (1963)
                  Ordovician and Silurian chitinozoans of the Schistes of Steige in the Vosges.  [ Chitinozonaires Ordoviciens et Siluriens des Schistes de Steige dans les Vosges. ]                   Bulletin du Service de la Carte Geologique d'Alsace Lorraine  
                   Vol. 16                    # 3                  P.   125-  136"
Ancyrochitina sp,Middle Llandoverian,Late Llandoverian,Algeria,"  Taugourdeau,P.         Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.",1963,"Taugourdeau,P.
","Taugourdeau,P.                   (1963)
                  Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.  [ Etude de quelques especes Critiques de Chitino Zoaires de la Region d'Edjele et Complements a faune Locale ]                   Revue de Micropal©ontologie  
                   Vol. 6                    # 3                  P.   130-  144"
Ancyrochitina sp,Middle Llandoverian,Late Llandoverian,Algeria,"  Taugourdeau,P.         Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.",1963,"Taugourdeau,P.
","Taugourdeau,P.                   (1963)
                  Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.  [ Etude de quelques especes Critiques de Chitino Zoaires de la Region d'Edjele et Complements a faune Locale ]                   Revue de Micropal©ontologie  
                   Vol. 6                    # 3                  P.   130-  144"
Ancyrochitina sp,Middle Llandoverian,Late Llandoverian,Algeria,"  Taugourdeau,P.         Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.",1963,"Taugourdeau,P.
","Taugourdeau,P.                   (1963)
                  Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.  [ Etude de quelques especes Critiques de Chitino Zoaires de la Region d'Edjele et Complements a faune Locale ]                   Revue de Micropal©ontologie  
                   Vol. 6                    # 3                  P.   130-  144"
Ancyrochitina sp,Middle Llandoverian,Late Llandoverian,Algeria,"  Taugourdeau,P.         Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.",1963,"Taugourdeau,P.
","Taugourdeau,P.                   (1963)
                  Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.  [ Etude de quelques especes Critiques de Chitino Zoaires de la Region d'Edjele et Complements a faune Locale ]                   Revue de Micropal©ontologie  
                   Vol. 6                    # 3                  P.   130-  144"
Ancyrochitina sp,Famennian,,Algeria,"  Taugourdeau,P.         Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.",1963,"Taugourdeau,P.
","Taugourdeau,P.                   (1963)
                  Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.  [ Etude de quelques especes Critiques de Chitino Zoaires de la Region d'Edjele et Complements a faune Locale ]                   Revue de Micropal©ontologie  
                   Vol. 6                    # 3                  P.   130-  144"
Ancyrochitina sp,Famennian,,Algeria,"  Taugourdeau,P.         Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.",1963,"Taugourdeau,P.
","Taugourdeau,P.                   (1963)
                  Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.  [ Etude de quelques especes Critiques de Chitino Zoaires de la Region d'Edjele et Complements a faune Locale ]                   Revue de Micropal©ontologie  
                   Vol. 6                    # 3                  P.   130-  144"
Ancyrochitina sp,Famennian,,Algeria,"  Taugourdeau,P.         Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.",1963,"Taugourdeau,P.
","Taugourdeau,P.                   (1963)
                  Study of some critical species of chitinozoans of the Edjeleh Region and complements of the local fauna.  [ Etude de quelques especes Critiques de Chitino Zoaires de la Region d'Edjele et Complements a faune Locale ]                   Revue de Micropal©ontologie  
                   Vol. 6                    # 3                  P.   130-  144"
