Eisenackitina sp,Late Givetian,,Canada(Quebec),"  Jansonius,J.         Morphology and classification of some chitinozoa",1964,"Jansonius,J.
","Jansonius,J.                   (1964)
                  Morphology and classification of some chitinozoa                   Bulletin of Canadian Petroleum Geology  
                   Vol. 12                    # 4                  P.   901-  918"
Eisenackitina sp,Givetian,,Canada(Yukon),"  Jansonius,J.         Systematics of the chitinozoa.",1966,"Jansonius,J.
","Jansonius,J.                   (1966)
                  Systematics of the chitinozoa.                   Review of Palaeobotany and Palynology  
                   Vol. 1                                     P.   345-  359"
Eisenackitina sp,Givetian,,Canada,"  Jansonius,J.         Systematics of the chitinozoa.",1967,"Jansonius,J.
","Jansonius,J.                   (1967)
                  Systematics of the chitinozoa.                   Review of Palaeobotany and Palynology  
                   Vol. 1                    # 1                  P.   345-  360"
Eisenackitina sp,Erian,,Canada(Ontario),"  Legault,J.A.         Chitinozoa and acritarcha of the Hamilton Group (Middle Devonian) of Southern Ontario",1971,"Legault,J.A.
","Legault,J.A.                   (1971)
                  Chitinozoa and acritarcha of the Hamilton Group (Middle Devonian) of Southern Ontario                   PhD Thesis, University of Oklahoma  
                                                      P.     1-  235"
Eisenackitina sp,Middle Devonian,,Canada(Ontario),"  Legault,J.A.         Chitinozoa and acritarcha of the Hamilton Formation, (Middle Devonian), southwestern Ontario.",1973,"Legault,J.A.
","Legault,J.A.                   (1973)
                  Chitinozoa and acritarcha of the Hamilton Formation, (Middle Devonian), southwestern Ontario.                   Geological Survey of Canada, Bulletin  
                                     # 221                  P.     1-  103"
Eisenackitina sp,Middle Devonian,,Ohio,"  Wood,G.D.         Chitinozoa of the Silica Formation, (Middle Devonian, Ohio), vesicle ornamentation and paleoecology.",1974,"Wood,G.D.
","Wood,G.D.                   (1974)
                  Chitinozoa of the Silica Formation, (Middle Devonian, Ohio), vesicle ornamentation and paleoecology.                   Contributions from the Museum of Paleontology. University of Michigan  
                   Vol. 1                    # 4                  P.   127-  162"
Eisenackitina sp,Pridolian,Gedinnian,France(Manche),"  Rauscher,R. et al.         Microfossils (Acritarches, chitinozoans, and spores) of beds next to the Silurian-Devonian boundary on the Cotentin Penninsula (Normandy).",1975,"Rauscher,R.;Robardet,M.
","Rauscher,R. et al.                   (1975)
                  Microfossils (Acritarches, chitinozoans, and spores) of beds next to the Silurian-Devonian boundary on the Cotentin Penninsula (Normandy).  [ Les microfossiles (Acritarches, Chitinozoaires et spores) des couches de Passage du Silurien au Devonien dans le Cotentn (Normandie). ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 95                    # 2                  P.    81-   92"
Eisenackitina sp,Ordovician,Devonian,Poland,"  Wrona,R.M.         Fossil Phenomenon--Chitinozoa.",1978,"Wrona,R.M.
","Wrona,R.M.                   (1978)
                  Fossil Phenomenon--Chitinozoa.  [ Zagadkowe Skamieniaosci--Chitinozoa. ]                   Wszechswiat(Krakow)(2( Polish)  
                                     # 1                  P.     1-    5"
Eisenackitina sp,Ordovician,Devonian,Africa(Sahara),"  Alpern,B. et al.         Research in regard for the Sexuality of Chitinomycetes of chitinozoa from the Paleozoic.",1979,"Alpern,B.;Locquin,M.V.
","Alpern,B. et al.                   (1979)
                  Research in regard for the Sexuality of Chitinomycetes of chitinozoa from the Paleozoic.  [ Recherches sur la Sexuality des Chitinomycetes Ou Chitinozoaires au Paleozoique. ]                   Congres National des Societes Savantes,Comptes Rendu,104th,Bordeaux,(Sciences)  
                                     # 1                  P.    63-   74"
Eisenackitina sp,Early Gothlandian,Middle Devonian,Nd,"  Taugourdeau,P.         The chitinozoa.",1979,"Taugourdeau,P.
","Taugourdeau,P.                   (1979)
                  The chitinozoa.                   Biological Memoirs  
                   Vol. 4                    # 1                  P.     1-   48"
Eisenackitina sp,Early Paleozoic,,Poland,"  Wrona,R.M.         Microarchitecture of the chitinozoan vesicles and its paleobiological significance.",1980,"Wrona,R.M.
","Wrona,R.M.                   (1980)
                  Microarchitecture of the chitinozoan vesicles and its paleobiological significance.                   Acta Palaeontologica Polonica  
                   Vol. 25                    # 1                  P.   123-  163"
Eisenackitina sp,Early Paleozoic,,Poland,"  Wrona,R.M.         Microarchitecture of the chitinozoan vesicles and its paleobiological significance.",1980,"Wrona,R.M.
","Wrona,R.M.                   (1980)
                  Microarchitecture of the chitinozoan vesicles and its paleobiological significance.                   Acta Palaeontologica Polonica  
                   Vol. 25                    # 1                  P.   123-  163"
Eisenackitina sp,Llanvirnian,,Europe,"  Paris,F.         The chitinozoans in the Paleozoic of Southwest Europe.",1981,"Paris,F.
","Paris,F.                   (1981)
                  The chitinozoans in the Paleozoic of Southwest Europe.  [ Les Chitinozoaires dans le Paleozoique du Sud-Ouest le l'Europe. ]                   M©moires de la Soci©t© G©ologique et Min©ralogique de Bretagne  
                   Vol. 26                                     P.     1-  412"
Eisenackitina sp,Middle Llandoverian,Middle Ludlovian,Belgium,"  Verniers,J.         The Silurian chitinozoa of the Mehaigne area (Brabant Massif, Belgium).",1982,"Verniers,J.
","Verniers,J.                   (1982)
                  The Silurian chitinozoa of the Mehaigne area (Brabant Massif, Belgium).                   Belgische Geologische Dienst-Professional Paper  
                   Vol. 6                    # 192                  P.     1-   96"
Eisenackitina sp,Early Wenlockian,Middle Wenlockian,Belgium,"  Verniers,J.         The Silurian chitinozoa of the Mehaigne area (Brabant Massif, Belgium).",1982,"Verniers,J.
","Verniers,J.                   (1982)
                  The Silurian chitinozoa of the Mehaigne area (Brabant Massif, Belgium).                   Belgische Geologische Dienst-Professional Paper  
                   Vol. 6                    # 192                  P.     1-   96"
