Euconochitina sp,Gothlandian,,Africa(Sahara),"  Taugourdeau,P.         Techniques of study, morphology and classification of chitinozoans.",1966,"Taugourdeau,P.
","Taugourdeau,P.                   (1966)
                  Techniques of study, morphology and classification of chitinozoans.  [ Les Chitinoziares Techniques d'etudes, Morphologie et classification. ]                   M©moires de la Soci©t© G©ologique de France (Nouvelle s©rie)  
                                     # 104                  P.     1-   64"
Euconochitina sp,Late Gothlandian,Devonian,France(Pas-de-Calais),"  Rauscher,R.         Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais",1968,"Rauscher,R.
","Rauscher,R.                   (1968)
                  Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais  [ Presence de Chitinozoaires dans le Siluro-Devonien Charrie du Pas-De-Calais ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 88                    # 3                  P.   123-  128"
Euconochitina sp,Late Gothlandian,Devonian,France(Pas-de-Calais),"  Rauscher,R.         Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais",1968,"Rauscher,R.
","Rauscher,R.                   (1968)
                  Chitinozoans in the Silurian-Devonian Drift of Pas-de-Calais  [ Presence de Chitinozoaires dans le Siluro-Devonien Charrie du Pas-De-Calais ]                   Annales de la Soci©t© G©ologique du Nord  
                   Vol. 88                    # 3                  P.   123-  128"
Euconochitina sp,Paleozoic,,Nd,"  Deflandre,G. et al.         Condensation of the activities of the Sub-Commission on chitinozoans of the C.I.M.P.",1970,"Deflandre,G.;Taugourdeau,P.
","Deflandre,G. et al.                   (1970)
                  Condensation of the activities of the Sub-Commission on chitinozoans of the C.I.M.P.  [ Mise au Point concernant les Activites de la sous-Commission Chitinozoaires de la C.I.M.P. ]                   Cahiers de Micropal©ontologie  
                                     # 468                  P.     1-    4"
Euconochitina sp,Middle Siegenian,,France(Loire Atlantique),"  Moreau-Benoit,A.         Stratigraphic palynology of the Silurian and Devonian in the southeast part of the Breton Massif, (Saint-Julien-de-Vouantes and Ancenis Synclinoria).",1972,"Moreau-Benoit,A.
","Moreau-Benoit,A.                   (1972)
                  Stratigraphic palynology of the Silurian and Devonian in the southeast part of the Breton Massif, (Saint-Julien-de-Vouantes and Ancenis Synclinoria).  [ Palynologie stratigraphique du Silurien et du Devonien dans le Sud-Est du Massif Armoricain (Synclinoriums de Saint-Juien-De-Vouvantes et D 'Ancenis). ]                   CongrЁs International de Stratigraphie et de G©ologie du CarbonifЁre.Comptes Rendus.7e.Krefeld  
                   Vol. 1                                     P.   285-  293"
Euconochitina sp,Middle Siegenian,,France(Loire Atlantique),"  Moreau-Benoit,A.         Stratigraphic palynology of the Silurian and Devonian in the southeast part of the Breton Massif, (Saint-Julien-de-Vouantes and Ancenis Synclinoria).",1972,"Moreau-Benoit,A.
","Moreau-Benoit,A.                   (1972)
                  Stratigraphic palynology of the Silurian and Devonian in the southeast part of the Breton Massif, (Saint-Julien-de-Vouantes and Ancenis Synclinoria).  [ Palynologie stratigraphique du Silurien et du Devonien dans le Sud-Est du Massif Armoricain (Synclinoriums de Saint-Juien-De-Vouvantes et D 'Ancenis). ]                   CongrЁs International de Stratigraphie et de G©ologie du CarbonifЁre.Comptes Rendus.7e.Krefeld  
                   Vol. 1                                     P.   285-  293"
Euconochitina sp,Middle Siegenian,Emsian,France(Loire Atlantique),"  Moreau-Benoit,A.         Stratigraphic palynology of the Silurian and Devonian in the southeast part of the Breton Massif, (Saint-Julien-de-Vouantes and Ancenis Synclinoria).",1972,"Moreau-Benoit,A.
","Moreau-Benoit,A.                   (1972)
                  Stratigraphic palynology of the Silurian and Devonian in the southeast part of the Breton Massif, (Saint-Julien-de-Vouantes and Ancenis Synclinoria).  [ Palynologie stratigraphique du Silurien et du Devonien dans le Sud-Est du Massif Armoricain (Synclinoriums de Saint-Juien-De-Vouvantes et D 'Ancenis). ]                   CongrЁs International de Stratigraphie et de G©ologie du CarbonifЁre.Comptes Rendus.7e.Krefeld  
                   Vol. 1                                     P.   285-  293"
Euconochitina sp,Ordovician,,Nd,"  Volkheimer,W.         Palynomorphs as guide fossils. Part 2.",1973,"Volkheimer,W.
","Volkheimer,W.                   (1973)
                  Palynomorphs as guide fossils. Part 2.  [ Palinomorfos Como Fosiles Guia.(Segunda Parte) ]                   Revista Mineria Sociedad Argentina de Mineria y Geologia,(Buenos Aire)  
                   Vol. 30                    # 3                  P.    37-   43"
Euconochitina sp,Ordovician,,USSR,"  Umnova,N.I.         The use of Infrared light for the study of chitinozoa.",1973,"Umnova,N.I.
","Umnova,N.I.                   (1973)
                  The use of Infrared light for the study of chitinozoa.                   Paleontologicheskii Zhurnal (Paleontological Journal)  
                   Vol. 7                    # 3                  P.   394-  400"
Euconochitina sp,Ordovician,Middle Gothlandian,Romania,"  Stanoiu,I. et al.         Specifications on the stratigraphy of the Paleozoic Formations of the Motru Valley Spring (South Carpathians).",1975,"Stanoiu,I.;Iliescu,V.
","Stanoiu,I. et al.                   (1975)
                  Specifications on the stratigraphy of the Paleozoic Formations of the Motru Valley Spring (South Carpathians).  [ Precizari Asupra stratigrafiei Formatiumilor Paleozoice de la Obirsia Vaii Motru(Carpatii Meridionali). ]                   Dari de Seama ale Sedintelor  
                   Vol. 62                                     P.    37-   53"
Euconochitina sp,Virgilian,,Kansas,"  Hutter,T.J. et al.         Pennsylvanian (Virgilian) chitinozoan fauna from eastern Kansas.",1977,"Hutter,T.J.;Tasch,T.
","Hutter,T.J. et al.                   (1977)
                  Pennsylvanian (Virgilian) chitinozoan fauna from eastern Kansas.                   Coloquio International Palinologia,(Leon,Spain,Sept.1977),Abstracts  
                                                      P.    19-   19"
Euconochitina sp,Virgilian,,Kansas,"  Tasch,P. et al.         Pennsylvanian chitinozoans from eastern Kansas.",1978,"Tasch,P.;Hutter,T.J.
","Tasch,P. et al.                   (1978)
                  Pennsylvanian chitinozoans from eastern Kansas.  [ Quitinozoos de Edad Pensilvaniense de Kansas Oriental. ]                   PalinologiЎ, Nкmero extraordinario  
                                     # 1                  P.   443-  453"
Euconochitina sp,Early Devonian,,China(Kwangsi),"  Hou,J.-P.         Early Devonian chitinozoans from the Nakaoling Formation of Liujing, Heng County, Kwangsi.",1978,"Hou,J.-P.
","Hou,J.-P.                   (1978)
                  Early Devonian chitinozoans from the Nakaoling Formation of Liujing, Heng County, Kwangsi.  [ In Chinese with English summary ]                   Chinese Academy of Geological Science,(Peking).Symposium on the Devonian System of South China  
                                                      P.   359-  372"
Euconochitina sp,Early Gothlandian,,Argentina,"  Volkheimer,W.         Lower Paleozoic chitinozoan fauna of Argentina.",1978,"Volkheimer,W.
","Volkheimer,W.                   (1978)
                  Lower Paleozoic chitinozoan fauna of Argentina.  [ Faunas de Quitinozoos del Paleozoico Inferior de la Argentina. ]                   Acta Geolгgica Lilloana  
                   Vol. 14                                     P.    15-   18"
Euconochitina sp,Early Ludlovian,,Romania,"  Givulescu,R.         Fossil flora of Romania. (3rd Supplement)",1978,"Givulescu,R.
","Givulescu,R.                   (1978)
                  Fossil flora of Romania. (3rd Supplement)  [ Die fossile flora Rumaniens(Dritte Erganzung). ]                   Dari de Seama ale Sedintelor  
                   Vol. 64                    # 3                  P.   345-  378"
Euconochitina sp,Middle Ordovician,Late Gothlandian,Nd,"  Taugourdeau,P.         The chitinozoa.",1979,"Taugourdeau,P.
","Taugourdeau,P.                   (1979)
                  The chitinozoa.                   Biological Memoirs  
                   Vol. 4                    # 1                  P.     1-   48"
Euconochitina sp,Llandoverian,,Argentina(San Juan),"  Volkheimer,W. et al.         Lowermost Silurian chitinozoa from the Sierra de Villicum, San Juan, Argentina.",1980,"Volkheimer,W.;Pothe,D.;Baldis,B.
","Volkheimer,W. et al.                   (1980)
                  Lowermost Silurian chitinozoa from the Sierra de Villicum, San Juan, Argentina.  [ Quitinozoos de la Base del Silurico la Sierra de Villicum(Provincia de San Juan, Republica Argentina). ]                   Revista del Museo Argentino de CiЄncias Naturales ""Bernardino Rivadavia"" e Instituto Nacional de Investigaciгn de las Ciencias Naturales, Hidrobiolog­a  
                   Vol. 2                    # 6                  P.   121-  135"
Euconochitina sp,Scythian,,USSR(Moldavian SSR),"  Vaida,M. et al.         Palynological study of cores from the borehole 1 Liman (Scythia Platform, Moldavia)",1997,"Vaida,M.;Seghedi,A.
","Vaida,M. et al.                   (1997)
                  Palynological study of cores from the borehole 1 Liman (Scythia Platform, Moldavia)                   Neues Jahrbuch fмr Geologie und Pal¤ontologie. Monatshefte  
                   Vol. 1997                    # 7                  P.   399-  408"
Euconochitina sp,Llanvirnian,,Saudi Arabia,"  Paris,F. et al.         Ordovician chitinozoans from central Saudi Arabia.",2000,"Paris,F.;Verniers,J.;Al-Hajri,S.
","Paris,F. et al.                   (2000)
                  Ordovician chitinozoans from central Saudi Arabia.                   Stratigraphic Palynology of the Paleozoic of Saudi Arabia.(S.Al-Hajri and B.Owens,editors). Special GeoArabis Publication.  
                                     # 1                  P.    42-   56"
Euconochitina sp,Late Hirnantian,,Algeria,"  Paris,F. et al.         The effects of the final stages of the Late Ordovician glaciation on marine palynomorphs (chitinozoans, acritarchs, leiospheres) in Well NI-2 (northeast Algerian Sahara).",2000,"Paris,F.;Bourahrouh,A.;H©riss©,A.L.
","Paris,F. et al.                   (2000)
                  The effects of the final stages of the Late Ordovician glaciation on marine palynomorphs (chitinozoans, acritarchs, leiospheres) in Well NI-2 (northeast Algerian Sahara).                   Review of Palaeobotany and Palynology  
                   Vol. 113                    # 3                  P.    87-  104"
Euconochitina sp,Middle Caradocian,,Belgium,"  Samuelsson,J. et al.         Ordovician chitinozoan biozonation of the Brabant Massif, Belgium.",2000,"Samuelsson,J.;Verniers,J.
","Samuelsson,J. et al.                   (2000)
                  Ordovician chitinozoan biozonation of the Brabant Massif, Belgium.                   Review of Palaeobotany and Palynology  
                   Vol. 113                    # 3                  P.   105-  129"
